,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline
475,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.","Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,PH-VET
476,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",Guangdong Academy of Agricultural Sciences,China,PH-VET
477,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",Guangdong Academy of Agricultural Sciences,China,STEM-Biology
478,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.","Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,PH-VET
479,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.","Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,PH-VET
480,P48,260,"School of Life Science and Engineering, Foshan University, Foshan 528000, China.",Foshan University,China,STEM-Biology
481,P48,257,"Key Laboratory of Livestock Disease Prevention of Guangdong Province, Key Laboratory of Avian Influenza and Other Major Poultry Diseases Prevention and Control, Ministry of Agriculture and Rural Affairs, Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",Guangdong Academy of Agricultural Sciences,China,PH-VET
482,P49,261,"Centre for Integrative Ecology, School of Life and Environmental Science, Deakin University, Melbourne, VA, Australia.;EcoHealth Alliance, New York, NY, United States.;Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka, Bangladesh.","Centre for Integrative Ecology, School of Life and Environmental Science, Deakin University, Melbourne, VA, Australia.","Australia, United States, Bangladesh",STEM-Ecology
483,P49,262,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka, Bangladesh.","Institute of Epidemiology, Disease Control and Research (IEDCR)",Bangladesh,PH-EPI
484,P49,261,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka, Bangladesh.","Institute of Epidemiology, Disease Control and Research (IEDCR)",Bangladesh,PH-EPI
485,P49,263,"One Health Laboratory, International Center for Diarrheal Diseases Research, Bangladesh (icddr, b), Dhaka, Bangladesh.",International Center for Diarrheal Diseases Research,Bangladesh,PH-MED
486,P49,264,"Queensland Alliance for One Health Sciences, School of Veterinary Science, University of Queensland, Brisbane, QLD, Australia.",University of Queensland,Australia,PH-VET
487,P49,262,"One Health Laboratory, International Center for Diarrheal Diseases Research, Bangladesh (icddr, b), Dhaka, Bangladesh.","International Center for Diarrheal Diseases Research, Bangladesh (icddr, b)",Bangladesh,PH-MED
488,P49,265,"National Reference Laboratory for Avian Influenza, Bangladesh Livestock Research Institute (BLRI), Savar, Bangladesh.",Bangladesh Livestock Research Institute (BLRI),Bangladesh,PH-VET
489,P49,261,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka, Bangladesh.","Institute of Epidemiology, Disease Control and Research (IEDCR)",Bangladesh,PH-EPI
490,P49,262,"One Health Laboratory, International Center for Diarrheal Diseases Research, Bangladesh (icddr, b), Dhaka, Bangladesh.","International Center for Diarrheal Diseases Research, Bangladesh",Bangladesh,PH-MED
491,P49,262,"One Health Laboratory, International Center for Diarrheal Diseases Research, Bangladesh (icddr, b), Dhaka, Bangladesh.","International Center for Diarrheal Diseases Research, Bangladesh (icddr, b)",Bangladesh,PH-MED
492,P50,266,"Department of Epidemiology and Public Health, University of Veterinary and Animal Sciences, Lahore, Pakistan.",University of Veterinary and Animal Sciences,Pakistan,PH-EPI
493,P50,267,"World Health Organization Collaborating Center for Studies on the Ecology of Influenza in Animals and Birds, Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",St. Jude Children's Research Hospital,United States of America,STEM-Biology
494,P50,265,"Department of Epidemiology and Public Health, University of Veterinary and Animal Sciences, Lahore, Pakistan.",University of Veterinary and Animal Sciences,Pakistan,PH-EPI
495,P50,268,"Department of Surgery and Pet Sciences, University of Veterinary and Animal Sciences, Lahore, Pakistan.",University of Veterinary and Animal Sciences,Pakistan,PH-VET
496,P50,269,"Department of Epidemiology and Public Health, University of Veterinary and Animal Sciences, Lahore, Pakistan.;Department of Pathobiology, Riphah Veterinary College, Riphah International University, Lahore, Pakistan.",University of Veterinary and Animal Sciences,Pakistan,PH-EPI
497,P50,270,"Department of Microbiology, University of Veterinary and Animal Sciences, Lahore, Pakistan.;Virology Laboratory, Treidlia Biovet, Seven Hills, Blacktown, NSW, Australia.","University of Veterinary and Animal Sciences, Lahore, Pakistan.; Treidlia Biovet, Seven Hills, Blacktown, NSW, Australia.",Pakistan; Australia,STEM
498,P50,266,"World Health Organization Collaborating Center for Studies on the Ecology of Influenza in Animals and Birds, Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",World Health Organization Collaborating Center for Studies on the Ecology of Influenza in Animals and Birds,United States of America,STEM-Biology
499,P50,265,"Department of Epidemiology and Public Health, University of Veterinary and Animal Sciences, Lahore, Pakistan.",University of Veterinary and Animal Sciences,Pakistan,PH-EPI
500,P50,271,"Department of Epidemiology and Public Health, University of Veterinary and Animal Sciences, Lahore, Pakistan. Mamoona.chaudhry@uvas.edu.pk.",University of Veterinary and Animal Sciences,Pakistan,PH-EPI
501,P51,272,"School of Ecology and Environment, Anhui Normal University, Wuhu, Anhui, China.;Collaborative Innovation Center of Recovery and Reconstruction of Degraded Ecosystem in Wanjiang Basin Co-founded by Anhui Province and Ministry of Education, Anhui Normal University, Wuhu, China.",Anhui Normal University,China,STEM-Ecology
502,P51,273,"College of Life Sciences, Anhui Normal University, Wuhu, Anhui, China.",Anhui Normal University,China,STEM-Biology
503,P51,274,"Department of Geriatrics, The First Affiliated Hospital, Zhejiang University School of Medicine, Zhejiang, China.",Zhejiang University School of Medicine,China,PH-MED
504,P51,272,"College of Life Sciences, Anhui Normal University, Wuhu, Anhui, China.",Anhui Normal University,China,STEM-Biology
505,P51,272,"College of Life Sciences, Anhui Normal University, Wuhu, Anhui, China.",Anhui Normal University,China,STEM-Biology
506,P51,275,"Research Center for Humanities and Social Sciences, Academia Sinica, Taipei, Taiwan.",Academia Sinica,Taiwan,SHAPE
507,P51,276,"Department of Infectious Diseases, Zhejiang Provincial Centre for Disease Control and Prevention, Hangzhou, Zhejiang, China.",Zhejiang Provincial Centre for Disease Control and Prevention,China,PH-EPI
508,P51,274,"Research Center for Humanities and Social Sciences, Academia Sinica, Taipei, Taiwan.",Academia Sinica,Taiwan,SHAPE
509,P51,277,"School of Public Health, Lanzhou University, Lanzhou, Gansu, China.;School of Public Health, Shanghai Jiao Tong University School of Medicine, Shanghai, China.",Lanzhou University and Shanghai Jiao Tong University School of Medicine,China,PH-EPI
510,P52,278,"EcoHealth Alliance, New York, NY, United States.;Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, VIC, Australia.","EcoHealth Alliance, Deakin University","United States, Australia",STEM-Biology
511,P52,261,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka, Bangladesh.","Institute of Epidemiology, Disease Control and Research (IEDCR)",Bangladesh,PH-EPI
512,P52,261,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka, Bangladesh.","Institute of Epidemiology, Disease Control and Research (IEDCR)",Bangladesh,PH-EPI
513,P52,279,"One Health Laboratory, International Centre for Diarrheal Diseases Research, Bangladesh (icddr,b), Dhaka, Bangladesh.","International Centre for Diarrheal Diseases Research, Bangladesh (icddr,b)",Bangladesh,PH-MED
514,P52,261,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka, Bangladesh.","Institute of Epidemiology, Disease Control and Research (IEDCR)",Bangladesh,PH-EPI
515,P52,278,"One Health Laboratory, International Centre for Diarrheal Diseases Research, Bangladesh (icddr,b), Dhaka, Bangladesh.","International Centre for Diarrheal Diseases Research, Bangladesh (icddr,b)",Bangladesh,PH-MED
516,P52,264,"National Reference Laboratory for Avian Influenza, Bangladesh Livestock Research Institute (BLRI), Savar, Bangladesh.",Bangladesh Livestock Research Institute (BLRI),Bangladesh,PH-MED
517,P52,261,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka, Bangladesh.","Institute of Epidemiology, Disease Control and Research (IEDCR)",Bangladesh,PH-EPI
518,P52,278,"One Health Laboratory, International Centre for Diarrheal Diseases Research, Bangladesh (icddr,b), Dhaka, Bangladesh.","International Centre for Diarrheal Diseases Research, Bangladesh (icddr,b)",Bangladesh,PH-EPI
519,P52,280,"Queensland Alliance for One Health Sciences, School of Veterinary Science, The University of Queensland, Brisbane, QLD, Australia.;Faculty of Veterinary Medicine, Chattogram Veterinary and Animal Sciences University, Chattogram, Bangladesh.",The University of Queensland,Australia; Bangladesh,PH-VET
520,P53,281,"Bio-Med Program KIST-School UST, Seoul, Republic of Korea.",KIST-School UST,South Korea,STEM-Biology
521,P53,282,"Department of Pharmacology, Korea University College of Medicine, Seoul 02792, Republic of Korea. junseoklee@korea.ac.kr.",Korea University College of Medicine,Republic of Korea,PH-MED
522,P53,280,"Bio-Med Program KIST-School UST, Seoul, Republic of Korea.",KIST-School UST,Republic of Korea,PH-MED
523,P53,283,"Center for Advanced Biomolecular Recognition, Korea Institute of Science and Technology, Seoul 02792, Republic of Korea.",Korea Institute of Science and Technology,Republic of Korea,STEM-Bioinformatics
524,P53,281,"Department of Pharmacology, Korea University College of Medicine, Seoul 02792, Republic of Korea. junseoklee@korea.ac.kr.",Korea University College of Medicine,Republic of Korea,PH-MED
525,P53,281,"Department of Pharmacology, Korea University College of Medicine, Seoul 02792, Republic of Korea. junseoklee@korea.ac.kr.",Korea University College of Medicine,Republic of Korea,PH-MED
526,P53,281,"Department of Pharmacology, Korea University College of Medicine, Seoul 02792, Republic of Korea. junseoklee@korea.ac.kr.",Korea University College of Medicine,Republic of Korea (South Korea),PH-MED
527,P54,284,Univ. dokter.ghi@gmail.com.,Univ. dokter.ghi,Cannot determine the country from the given affiliation.,There is insufficient information to determine the discipline from the given affiliation.
528,P54,285,. chairil53@fk.unsri.ac.id.,There is no institute mentioned in the affiliation provided.,Indonesia,There is no affiliation provided in the given information.
529,P54,286,. hamzah_hasyim@fkm.unsri.ac.id.,No institute mentioned.,The country cannot be determined based on the given information.,Cannot determine the discipline from the given affiliation.
530,P54,287,. iskhaq.iskandar@gmail.com.,No institute found.,There is no country mentioned in the affiliation provided.,"No discipline can be determined from the given affiliation as it is an email address, not an organization or institution."
531,P54,288,. mtk52@yahoo.com.,No institute information is provided in the given affiliation.,"There is no country specified in the affiliation "". mtk52@yahoo.com.""",N/A (Discipline cannot be determined from email address)
532,P31,225,"Department of Public Health, College of Medicine, Korea University, Seoul, Republic of Korea.",Korea University,Republic of Korea,PH-EPI
533,P31,289,"Department of Statistics, Graduate School, Hankuk University of Foreign Studies, Seoul, Republic of Korea.",Hankuk University of Foreign Studies,Republic of Korea,SHAPE
534,P31,288,"Department of Statistics, Graduate School, Hankuk University of Foreign Studies, Seoul, Republic of Korea.",Hankuk University of Foreign Studies,Republic of Korea,SHAPE
535,P31,290,"College of Veterinary Medicine and Institute of Veterinary Science, Kangwon National University, Chuncheon, Republic of Korea.",Kangwon National University,Republic of Korea,PH-VET
536,P31,291,"Avian Influenza Research and Diagnostic division, Animal and Plant Quarantine Agency, Gimcheon, Republic of Korea.",Animal and Plant Quarantine Agency,Republic of Korea,PH-MED
537,P31,288,"Department of Statistics, Graduate School, Hankuk University of Foreign Studies, Seoul, Republic of Korea.",Hankuk University of Foreign Studies,South Korea,SHAPE
538,P55,292,"Animal and Plant Health Agency (APHA), Woodham Lane, Weybridge KT15 3NB, Surrey, UK.",Animal and Plant Health Agency (APHA),United Kingdom,PH-VET
539,P55,291,"Animal and Plant Health Agency (APHA), Woodham Lane, Weybridge KT15 3NB, Surrey, UK.",Animal and Plant Health Agency (APHA),United Kingdom,SHAPE
540,P55,293,"SporeGen Ltd., London Bioscience Innovation Centre, 2 Royal College Street, London NW1 0NH, UK.",SporeGen Ltd.,United Kingdom,STEM-Biology
541,P55,292,"SporeGen Ltd., London Bioscience Innovation Centre, 2 Royal College Street, London NW1 0NH, UK.",SporeGen Ltd.,United Kingdom,STEM-Biology
542,P55,294,"HURO Biotech JSC, Lot A1-8, VL3 Road, Vinh Loc 2 Industrial Park, Long Hiep Commune, Ben Luc District, Long An, Vietnam.",HURO Biotech JSC,Vietnam,SHAPE
543,P55,292,"SporeGen Ltd., London Bioscience Innovation Centre, 2 Royal College Street, London NW1 0NH, UK.",SporeGen Ltd.,United Kingdom,STEM-Biology
544,P55,295,"Department of Biological Sciences, Royal Holloway University of London, Egham TW20 0EX, Surrey, UK.",Royal Holloway University of London,United Kingdom,STEM-Biology
545,P55,292,"SporeGen Ltd., London Bioscience Innovation Centre, 2 Royal College Street, London NW1 0NH, UK.",SporeGen Ltd.,United Kingdom,STEM-Biology
546,P55,296,"Destiny Pharma Plc., Sussex Innovation Centre, Science Park Square, Falmer, Brighton BN1 9SB, UK.",Destiny Pharma Plc.,United Kingdom,STEM
547,P55,295,"Destiny Pharma Plc., Sussex Innovation Centre, Science Park Square, Falmer, Brighton BN1 9SB, UK.",Destiny Pharma Plc.,United Kingdom,STEM
548,P55,291,"Animal and Plant Health Agency (APHA), Woodham Lane, Weybridge KT15 3NB, Surrey, UK.",Animal and Plant Health Agency (APHA),United Kingdom,PH-VET
549,P55,297,"SporeGen Ltd., London Bioscience Innovation Centre, 2 Royal College Street, London NW1 0NH, UK.;Department of Biological Sciences, Royal Holloway University of London, Egham TW20 0EX, Surrey, UK.","SporeGen Ltd. and Department of Biological Sciences, Royal Holloway University of London",United Kingdom,STEM-Biology
550,P56,298,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.;Department of Poultry Diseases, Faculty of Veterinary Medicine, Beni-Suef University, Beni-Suef 62511, Egypt.","Institute of Diagnostic Virology, Friedrich-Loeffler-Institut","Germany, Egypt",PH-VET
551,P56,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-EPI
552,P56,299,"Department of Poultry Diseases, Faculty of Veterinary Medicine, Beni-Suef University, Beni-Suef 62511, Egypt.",Beni-Suef University,Egypt,PH-VET
553,P56,298,"Department of Poultry Diseases, Faculty of Veterinary Medicine, Beni-Suef University, Beni-Suef 62511, Egypt.",Beni-Suef University,Egypt,PH-VET
554,P56,300,"Institute of Poultry Diseases, Free University Berlin, 14163 Berlin, Germany.",Free University Berlin,Germany,PH-VET
555,P56,301,"Friedrich-Loeffler-Institute, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institute,Germany,STEM
556,P56,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
557,P56,244,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-VET
558,P57,302,"College of Life Science, Nanjing Normal University, Nanjing, China.;Wildlife Ecology and Conservation Group, Wageningen University, Wageningen, The Netherlands.",Nanjing Normal University and Wageningen University,"China, The Netherlands",STEM-Ecology
559,P57,303,"Wildlife Ecology and Conservation Group, Wageningen University, Wageningen, The Netherlands.;The Finnish Museum of Natural History, University of Helsinki, Helsinki, Finland.","Wageningen University, The Finnish Museum of Natural History",The Netherlands; Finland,STEM-Ecology
560,P57,304,"College of Life Science, Nanjing Normal University, Nanjing, China.",Nanjing Normal University,China,STEM-Biology
561,P57,305,"Quantitative Veterinary Epidemiology Group, Wageningen University, Wageningen, The Netherlands.",Wageningen University,The Netherlands,PH-EPI
562,P57,306,"Wildlife Ecology and Conservation Group, Wageningen University, Wageningen, The Netherlands.",Wageningen University,The Netherlands,STEM-Ecology
563,P57,307,"Department of Integrative Biology, University of Texas at Austin, Austin, Texas, United States of America.",University of Texas at Austin,United States of America,STEM-Biology
564,P57,308,"Department of Animal Sciences, Wageningen University, Wageningen, The Netherlands.",Wageningen University,The Netherlands,STEM-Biology
565,P57,303,"College of Life Science, Nanjing Normal University, Nanjing, China.",Nanjing Normal University,China,STEM-Biology
566,P57,305,"Wildlife Ecology and Conservation Group, Wageningen University, Wageningen, The Netherlands.",Wageningen University,The Netherlands,STEM-Ecology
567,P58,309,"Bio-Med Program KIST-School UST, Korea University College of Medicine, Seoul, Republic of Korea.",Korea University College of Medicine,South Korea,PH-MED
568,P58,281,"Department of Pharmacology, Korea University College of Medicine, Seoul 02792, Republic of Korea. junseoklee@korea.ac.kr.",Korea University College of Medicine,South Korea,PH-MED
569,P58,308,"Bio-Med Program KIST-School UST, Korea University College of Medicine, Seoul, Republic of Korea.","KIST-School UST, Korea University College of Medicine",South Korea,PH-MED
570,P58,282,"Center for Advanced Biomolecular Recognition, Korea Institute of Science and Technology, Seoul 02792, Republic of Korea.",Korea Institute of Science and Technology,Republic of Korea,STEM-Bioinformatics
571,P58,281,"Department of Pharmacology, Korea University College of Medicine, Seoul 02792, Republic of Korea. junseoklee@korea.ac.kr.",Korea University College of Medicine,Republic of Korea,PH-MED
572,P58,281,"Department of Pharmacology, Korea University College of Medicine, Seoul 02792, Republic of Korea. junseoklee@korea.ac.kr.",Korea University College of Medicine,South Korea,PH-MED
573,P58,281,"Department of Pharmacology, Korea University College of Medicine, Seoul 02792, Republic of Korea. junseoklee@korea.ac.kr.",Korea University College of Medicine,South Korea,PH-MED
